method,method_display,sample,true_vectors,pred_vectors,vector_count_error,engineering_score,line_geometry_score,total_length_score,junction_angle_score,vector_count_score,true_junctions,pred_junctions,pixel_precision_on_skeleton,pixel_recall_on_skeleton,pixel_f1_on_skeleton,pixel_iou_on_skeleton,pixel_accuracy_on_skeleton,tp,fp,fn,tn,precision_from_matrix,recall_from_matrix,f1_from_matrix,accuracy_from_matrix,iou_from_matrix,raw_stroke_pixels,skeleton_stroke_pixels,graph_node_clusters,traced_paths,candidate_peak_count,component_count,candidate_local_segments,remaining_ransac_points,classified_line_pixels,classified_endpoint_pixels,classified_corner_pixels,classified_t_junction_pixels,classified_x_junction_pixels,internal_skeletonization_applied
thinning_skeletonisation_graph_tracing_on_shared_skeleton,Thinning / skeletonisation,7,12,21,9,0.5607609833064638,0.6651150660933269,0.9025341130604289,0.09523809523809523,0.5714285714285714,11,21,0.6586538461522629,0.634259259257791,0.6462264145929933,0.477351916375475,0.98168945312494,274,142,158,15810,0.6586538461522629,0.634259259257791,0.6462264145929933,0.98168945312494,0.477351916375475,1221,432,28,27,,,,,363.0,15.0,4.0,31.0,19.0,False
run_graph_vectorisation_on_shared_skeleton,Run-graph vectorisation,7,12,18,6,0.5726040315625556,0.6259567606306736,0.9025341130604289,0.175,0.6666666666666667,11,16,0.6256038647327884,0.5995370370356492,0.6122931437068166,0.44122657580844765,0.9799804687499402,259,155,173,15797,0.6256038647327884,0.5995370370356492,0.6122931437068166,0.9799804687499402,0.44122657580844765,1221,432,26,25,,,,,,,,,,False
sparse_pixel_ransac_vectorisation_on_shared_skeleton,Sparse-pixel RANSAC,7,12,12,0,0.7637943613654,0.7479557621865316,0.8091482649842271,0.6615384615384615,1.0,11,13,0.642066420663022,0.8055555555536908,0.7145790549463884,0.5559105431301024,0.9830322265624399,348,194,84,15758,0.642066420663022,0.8055555555536908,0.7145790549463884,0.9830322265624399,0.5559105431301024,1221,432,0,0,,,,1.0,,,,,,False
mesh_pattern_local_vectorisation_on_shared_skeleton,Mesh-pattern local,7,12,18,6,0.4952998828127546,0.6995401337792642,0.5692007797270955,0.0,0.6666666666666667,11,3,0.8830188679211962,0.5416666666654129,0.6714490669586278,0.5053995680334656,0.9860229492186898,234,31,198,15921,0.8830188679211962,0.5416666666654129,0.6714490669586278,0.9860229492186898,0.5053995680334656,1221,432,0,0,,,26.0,,,,,,,False
baseline_on_shared_skeleton,Baseline,8,9,12,3,0.7045262449071288,0.8319351210947136,0.9507772020725389,0.26,0.75,5,10,0.8416422287365348,0.8416422287365348,0.8416422282365348,0.7265822784791732,0.9934082031249394,287,54,54,15989,0.8416422287365348,0.8416422287365348,0.8416422282365348,0.9934082031249394,0.7265822784791732,785,341,20,17,,,,,,,,,,False
hough_transform_on_shared_skeleton,Hough Transform,8,9,7,2,0.8001618709441796,0.7176925576048383,0.9554455445544554,0.8333333333333334,0.7777777777777778,5,6,0.8709677419331426,0.9501466275631961,0.9088359041267269,0.8329048843166249,0.9960327148436892,324,48,17,15995,0.8709677419331426,0.9501466275631961,0.9088359041267269,0.9960327148436892,0.8329048843166249,785,341,0,0,1686.0,,,,,,,,,False
contour_based_fitting_on_shared_skeleton,Contour-based fitting,8,9,11,2,0.46347708074977,0.48198235456299965,0.8238341968911918,0.0,0.8181818181818181,5,0,0.5255972696227795,0.4516129032244821,0.485804415905119,0.32083333333266495,0.9801025390624402,154,139,187,15904,0.5255972696227795,0.4516129032244821,0.485804415905119,0.9801025390624402,0.32083333333266495,785,341,0,0,,4.0,,,,,,,,False
thinning_skeletonisation_graph_tracing_on_shared_skeleton,Thinning / skeletonisation,8,9,12,3,0.7045262449071288,0.8319351210947136,0.9507772020725389,0.26,0.75,5,10,0.8533724340150928,0.8533724340150928,0.8533724335150927,0.7442455242947718,0.9938964843749393,291,50,50,15993,0.8533724340150928,0.8533724340150928,0.8533724335150927,0.9938964843749393,0.7442455242947718,785,341,20,17,,,,,302.0,14.0,3.0,12.0,10.0,False
run_graph_vectorisation_on_shared_skeleton,Run-graph vectorisation,8,9,12,3,0.7045262449071288,0.8319351210947136,0.9507772020725389,0.26,0.75,5,10,0.8416422287365348,0.8416422287365348,0.8416422282365348,0.7265822784791732,0.9934082031249394,287,54,54,15989,0.8416422287365348,0.8416422287365348,0.8416422282365348,0.9934082031249394,0.7265822784791732,785,341,20,17,,,,,,,,,,False
sparse_pixel_ransac_vectorisation_on_shared_skeleton,Sparse-pixel RANSAC,8,9,7,2,0.7125242139630013,0.6310828709951517,0.9323671497584541,0.6571428571428571,0.7777777777777778,5,7,0.8293963254571407,0.9266862170060801,0.8753462598869215,0.7783251231507923,0.9945068359374393,316,65,25,15978,0.8293963254571407,0.9266862170060801,0.8753462598869215,0.9945068359374393,0.7783251231507923,785,341,0,0,,,,7.0,,,,,,False
mesh_pattern_local_vectorisation_on_shared_skeleton,Mesh-pattern local,8,9,14,5,0.5138521460989286,0.697366969947615,0.6787564766839378,0.0,0.6428571428571428,5,0,0.9999999999954955,0.6510263929599677,0.7886323263401405,0.6510263929599677,0.9927368164061894,222,0,119,16043,0.9999999999954955,0.6510263929599677,0.7886323263401405,0.9927368164061894,0.6510263929599677,785,341,0,0,,,26.0,,,,,,,False
baseline_on_shared_skeleton,Baseline,9,20,31,11,0.5458252330087037,0.5131199027037208,0.877025738798856,0.3,0.6451612903225806,29,46,0.4927007299264079,0.4397394136803043,0.4647160063857613,0.30269058295941503,0.9430541992186924,405,417,516,15046,0.4927007299264079,0.4397394136803043,0.4647160063857613,0.9430541992186924,0.30269058295941503,2161,921,42,51,,,,,,,,,,False
hough_transform_on_shared_skeleton,Hough Transform,9,20,17,3,0.7242066573963443,0.6602101965129488,0.9043103448275862,0.6450000000000001,0.85,29,40,0.7373831775694043,0.8566775244290373,0.792566548974631,0.6564059900160929,0.9747924804686905,789,281,132,15182,0.7373831775694043,0.8566775244290373,0.792566548974631,0.9747924804686905,0.6564059900160929,2161,921,0,0,12104.0,,,,,,,,,False
contour_based_fitting_on_shared_skeleton,Contour-based fitting,9,20,11,9,0.2440336987629516,0.2361777975059444,0.40514775977121065,0.006896551724137929,0.55,29,1,0.369999999999075,0.16069489685107416,0.2240726717954524,0.12617220801353268,0.9374389648436927,148,252,773,15211,0.369999999999075,0.16069489685107416,0.2240726717954524,0.9374389648436927,0.12617220801353268,2161,921,0,0,,4.0,,,,,,,,False
thinning_skeletonisation_graph_tracing_on_shared_skeleton,Thinning / skeletonisation,9,20,41,21,0.5704228306038832,0.6322569981078532,0.8331744518589133,0.2819672131147542,0.4878048780487805,29,61,0.6840193704592203,0.6134636264922764,0.6468231248584941,0.4780033840943503,0.9623413085936913,565,261,356,15202,0.6840193704592203,0.6134636264922764,0.6468231248584941,0.9623413085936913,0.4780033840943503,2161,921,47,57,,,,,618.0,24.0,10.0,169.0,100.0,False
run_graph_vectorisation_on_shared_skeleton,Run-graph vectorisation,9,20,42,22,0.5473854200963992,0.5889236647745197,0.8360343183984748,0.2701754385964913,0.47619047619047616,29,57,0.6751515151506968,0.6047774158516778,0.6380297818604599,0.4684608915050728,0.9614257812499413,557,268,364,15195,0.6751515151506968,0.6047774158516778,0.6380297818604599,0.9614257812499413,0.4684608915050728,2161,921,50,60,,,,,,,,,,False
