method,method_display,sample,true_vectors,pred_vectors,vector_count_error,engineering_score,line_geometry_score,total_length_score,junction_angle_score,vector_count_score,true_junctions,pred_junctions,pixel_precision_on_skeleton,pixel_recall_on_skeleton,pixel_f1_on_skeleton,pixel_iou_on_skeleton,pixel_accuracy_on_skeleton,tp,fp,fn,tn,precision_from_matrix,recall_from_matrix,f1_from_matrix,accuracy_from_matrix,iou_from_matrix,raw_stroke_pixels,skeleton_stroke_pixels,graph_node_clusters,traced_paths,classified_line_pixels,classified_endpoint_pixels,classified_corner_pixels,classified_t_junction_pixels,classified_x_junction_pixels,internal_skeletonization_applied
baseline_on_shared_skeleton,Baseline on shared skeleton,267,9,10,1,0.7059788939331253,0.7562071998326367,0.9409282700421941,0.35,0.9,8,4,0.8824884792606394,0.8626126126106698,0.872437357129057,0.7737373737358106,0.9931640624999394,383,51,61,15889,0.8824884792606394,0.8626126126106698,0.872437357129057,0.9931640624999394,0.7737373737358106,1164,444,22,21,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,267,9,13,4,0.710563599428607,0.8134869269281534,0.9388185654008439,0.35,0.6923076923076923,8,7,0.9080459770094068,0.8896396396376359,0.8987485774274727,0.8161157024776526,0.9945678710936893,395,40,49,15900,0.9080459770094068,0.8896396396376359,0.8987485774274727,0.9945678710936893,0.8161157024776526,1164,444,22,21,374.0,12.0,2.0,42.0,14.0,False
mlp_direct_vector_regression_on_shared_skeleton,MLP direct vector regression,267,9,10,1,0.4510625710950624,0.3321901486125624,0.9641350210970464,0.075,0.9,8,3,0.06531531531516821,0.06531531531516821,0.06531531481516822,0.033760186263057324,0.949340820312442,29,415,415,15525,0.06531531531516821,0.06531531531516821,0.06531531481516822,0.949340820312442,0.033760186263057324,1164,444,0,0,,,,,,False
cnn_direct_vector_regression_on_shared_skeleton,CNN direct vector regression,267,9,10,1,0.42127265629129745,0.20209996975196615,0.920388349514563,0.225,0.9,8,7,0.1469387755099042,0.16216216216179694,0.15417558836597903,0.08352668213447387,0.9517822265624419,72,418,372,15522,0.1469387755099042,0.16216216216179694,0.15417558836597903,0.9517822265624419,0.08352668213447387,1164,444,0,0,,,,,,False
baseline_on_shared_skeleton,Baseline on shared skeleton,268,9,8,1,0.7659588653891504,0.7386111473067996,0.9734748010610079,0.6,0.8888888888888888,3,2,0.8123249299697134,0.7816711590275427,0.7967032962012929,0.6621004566194929,0.9909667968749395,290,67,81,15946,0.8123249299697134,0.7816711590275427,0.7967032962012929,0.9909667968749395,0.6621004566194929,943,371,24,20,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,268,9,8,1,0.7865817482534124,0.745044943395768,0.9787798408488063,0.6666666666666666,0.8888888888888888,3,2,0.8356545960979509,0.8086253369250441,0.8219178077170614,0.6976744186030287,0.9920654296874394,300,59,71,15954,0.8356545960979509,0.8086253369250441,0.8219178077170614,0.9920654296874394,0.6976744186030287,943,371,25,21,293.0,13.0,1.0,53.0,11.0,False
mlp_direct_vector_regression_on_shared_skeleton,MLP direct vector regression,268,9,12,3,0.38780905639670454,0.2783263718710625,0.9378109452736318,0.0,0.75,3,5,0.03916449086151654,0.04043126684625221,0.03978779790850918,0.02029769959401854,0.9558105468749416,15,368,356,15645,0.03916449086151654,0.04043126684625221,0.03978779790850918,0.9558105468749416,0.02029769959401854,943,371,0,0,,,,,,False
cnn_direct_vector_regression_on_shared_skeleton,CNN direct vector regression,268,9,7,2,0.3678033348951037,0.23482995306159354,0.921760391198044,0.0,0.7777777777777778,3,2,0.027638190954704427,0.029649595687251618,0.02860858207531441,0.014511873350904338,0.9544067382811917,11,387,360,15626,0.027638190954704427,0.029649595687251618,0.02860858207531441,0.9544067382811917,0.014511873350904338,943,371,0,0,,,,,,False
baseline_on_shared_skeleton,Baseline on shared skeleton,269,12,9,3,0.7532523436216014,0.7587265484360103,0.8507936507936508,0.6666666666666666,0.75,3,2,0.8784530386724154,0.8427561837440941,0.8602344449450118,0.7547468354418437,0.9905395507811895,477,66,89,15752,0.8784530386724154,0.8427561837440941,0.8602344449450118,0.9905395507811895,0.7547468354418437,1122,566,22,14,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,269,12,9,3,0.7532523436216014,0.7587265484360103,0.8507936507936508,0.6666666666666666,0.75,3,2,0.8784530386724154,0.8427561837440941,0.8602344449450118,0.7547468354418437,0.9905395507811895,477,66,89,15752,0.8784530386724154,0.8427561837440941,0.8602344449450118,0.9905395507811895,0.7547468354418437,1122,566,22,14,511.0,20.0,0.0,18.0,17.0,False
mlp_direct_vector_regression_on_shared_skeleton,MLP direct vector regression,269,12,11,1,0.26538932201738585,0.11232900483581328,0.6158730158730159,0.0,0.9166666666666666,3,2,0.018716577540056907,0.012367491166055887,0.014893616542105042,0.00750267952839496,0.9434814453124424,7,367,559,15451,0.018716577540056907,0.012367491166055887,0.014893616542105042,0.9434814453124424,0.00750267952839496,1122,566,0,0,,,,,,False
cnn_direct_vector_regression_on_shared_skeleton,CNN direct vector regression,269,12,13,1,0.35033848251849936,0.18892203821096448,0.8650793650793651,0.0,0.9230769230769231,3,2,0.03402646502829106,0.03180212014128657,0.03287671182927796,0.016713091921990053,0.9353637695311929,18,511,548,15307,0.03402646502829106,0.03180212014128657,0.03287671182927796,0.9353637695311929,0.016713091921990053,1122,566,0,0,,,,,,False
baseline_on_shared_skeleton,Baseline on shared skeleton,270,3,6,3,0.5364940923737916,0.6010526315789474,0.9551020408163265,0.09999999999999999,0.5,1,6,0.7019230769197023,0.6576576576546953,0.679069766939232,0.5140845070404434,0.9915771484374395,146,62,76,16100,0.7019230769197023,0.6576576576546953,0.679069766939232,0.9915771484374395,0.5140845070404434,709,222,11,9,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,270,3,6,3,0.5101444683136414,0.5678947368421052,0.8979591836734694,0.09999999999999999,0.5,1,6,0.6804123711305133,0.5945945945919162,0.6346153841145987,0.4647887323927296,0.9907226562499395,132,62,90,16100,0.6804123711305133,0.5945945945919162,0.6346153841145987,0.9907226562499395,0.4647887323927296,709,222,9,7,159.0,6.0,2.0,46.0,9.0,False
mlp_direct_vector_regression_on_shared_skeleton,MLP direct vector regression,270,3,5,2,0.3765118152524168,0.3078947368421053,0.889795918367347,0.0,0.6,1,0,0.01877934272291653,0.018018018017936857,0.01839080409783064,0.009280742459375218,0.9739379882811905,4,209,218,15953,0.01877934272291653,0.018018018017936857,0.01839080409783064,0.9739379882811905,0.009280742459375218,709,222,0,0,,,,,,False
cnn_direct_vector_regression_on_shared_skeleton,CNN direct vector regression,270,3,4,1,0.2668319011815252,0.016315789473684214,0.9224489795918367,0.0,0.75,1,0,0.02803738317743908,0.027027027026905286,0.02752293527985861,0.013953488372060573,0.9741210937499405,6,208,216,15954,0.02803738317743908,0.027027027026905286,0.02752293527985861,0.9741210937499405,0.013953488372060573,709,222,0,0,,,,,,False
baseline_on_shared_skeleton,Baseline on shared skeleton,271,3,3,0,0.699037165848336,0.9032977207977207,0.9627659574468085,0.0,1.0,1,0,0.9425287356267671,0.9162011173133173,0.9291784697497932,0.8677248677202767,0.998474121093689,164,10,15,16195,0.9425287356267671,0.9162011173133173,0.9291784697497932,0.998474121093689,0.8677248677202767,480,179,11,9,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,271,3,3,0,0.699037165848336,0.9032977207977207,0.9627659574468085,0.0,1.0,1,0,0.8735632183857842,0.8491620111684405,0.8611898011949379,0.7562189054688746,0.9970092773436892,152,22,27,16183,0.8735632183857842,0.8491620111684405,0.8611898011949379,0.9970092773436892,0.7562189054688746,480,179,11,9,150.0,5.0,0.0,23.0,1.0,False
mlp_direct_vector_regression_on_shared_skeleton,MLP direct vector regression,271,3,3,0,0.2598271276595745,0.10694444444444444,0.5585106382978724,0.0,1.0,1,0,0.009615384615292159,0.00558659217873974,0.007067137344254548,0.003546099290767567,0.9828491210936899,1,103,178,16102,0.009615384615292159,0.00558659217873974,0.007067137344254548,0.9828491210936899,0.003546099290767567,480,179,0,0,,,,,,False
cnn_direct_vector_regression_on_shared_skeleton,CNN direct vector regression,271,3,2,1,0.22998499727223135,0.12179487179487179,0.5425531914893618,0.0,0.6666666666666667,1,0,0.032608695651819466,0.01675977653621922,0.022140220953581792,0.011194029850704501,0.9838256835936899,3,89,176,16116,0.032608695651819466,0.01675977653621922,0.022140220953581792,0.9838256835936899,0.011194029850704501,480,179,0,0,,,,,,False
baseline_on_shared_skeleton,Baseline on shared skeleton,272,15,13,2,0.7286934601811719,0.7777287140756758,0.8977443609022556,0.45,0.8666666666666667,4,2,0.8930390492344771,0.8415999999986534,0.8665568364018128,0.764534883719819,0.9901123046874395,526,63,99,15696,0.8930390492344771,0.8415999999986534,0.8665568364018128,0.9901123046874395,0.764534883719819,1461,625,30,22,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,272,15,13,2,0.7452003094962405,0.786632823664717,0.8977443609022556,0.5,0.8666666666666667,4,2,0.8930390492344771,0.8415999999986534,0.8665568364018128,0.764534883719819,0.9901123046874395,526,63,99,15696,0.8930390492344771,0.8415999999986534,0.8665568364018128,0.9901123046874395,0.764534883719819,1461,625,30,22,575.0,24.0,0.0,12.0,14.0,False
