method,method_display,preprocess_method,preprocess_display,preprocess_kind,input_channels,channel_names,sample,true_vectors,pred_vectors,vector_count_error,engineering_score,line_geometry_score,total_length_score,junction_angle_score,vector_count_score,true_junctions,pred_junctions,pixel_precision_on_preprocessed,pixel_recall_on_preprocessed,pixel_f1_on_preprocessed,pixel_iou_on_preprocessed,pixel_accuracy_on_preprocessed,tp,fp,fn,tn,precision_from_matrix,recall_from_matrix,f1_from_matrix,accuracy_from_matrix,iou_from_matrix,raw_stroke_pixels,processed_feature_pixels,opening_radius,closing_radius,erode_radius,dilate_radius,density_radius,distance_decay_px,neighbour_blend,apply_opening,apply_closing,apply_erosion,apply_dilation,apply_skeletonization,internal_skeletonization_applied
cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,Distance-to-stroke,distance_transform,1,,4,2,2,0,0.59775,0.195,0.8,1.0,1.0,0,0,0.4225352112616544,0.06437768240329533,0.11173184334553299,0.059171597633019386,0.9708862304686907,30,41,436,15877,0.4225352112616544,0.06437768240329533,0.11173184334553299,0.9708862304686907,0.059171597633019386,178,466,0,0,0,0,0,4.0,0.0,False,False,False,False,False,False
cnn_direct_vector_regression__neighbour_context,CNN + Neighbour-count context,neighbour_context,Neighbour-count context,neighbour_context,1,,4,2,2,0,0.6386846846846846,0.30518518518518517,0.7567567567567568,1.0,1.0,0,0,0.3947368421000692,0.1685393258417498,0.23622047201971605,0.13392857142797354,0.9881591796874397,30,46,148,16160,0.3947368421000692,0.1685393258417498,0.23622047201971605,0.9881591796874397,0.13392857142797354,178,178,0,0,0,0,0,0.0,0.45,False,False,False,False,False,False
cnn_direct_vector_regression__skeleton,CNN + Zhang-Suen skeleton,skeleton,Zhang-Suen skeleton,skeleton,1,,4,2,2,0,0.51925,0.06499999999999999,0.7,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.9921874999999394,0,74,54,16256,0.0,0.0,0.0,0.9921874999999394,0.0,178,54,0,0,0,0,0,0.0,0.0,False,False,False,False,True,False
cnn_direct_vector_regression__multi_channel_stack,CNN + Multi-channel stack,multi_channel_stack,Multi-channel stack,multi_channel,8,"threshold_only, dilated_stroke, close_gaps, local_density, sobel_edges, distance_transform, neighbour_context, skeleton",4,2,2,0,0.6496746575342466,0.325,0.7671232876712328,1.0,1.0,0,0,0.5333333333262222,0.08583690987106044,0.14787430659981346,0.07984031936111809,0.9718627929686906,40,35,426,15883,0.5333333333262222,0.08583690987106044,0.14787430659981346,0.9718627929686906,0.07984031936111809,178,466,0,0,0,0,0,0.0,0.0,False,False,False,False,True,False
cnn_direct_vector_regression__threshold_only,CNN + Threshold binary,threshold_only,Threshold binary,binary,1,,5,2,3,1,0.45952380952380956,0.0,0.7142857142857143,1.0,0.6666666666666667,0,0,0.015384615384378698,0.005263157894709142,0.007843136874986561,0.003937007874000248,0.9845581054686898,1,64,189,16130,0.015384615384378698,0.005263157894709142,0.007843136874986561,0.9845581054686898,0.003937007874000248,190,190,0,0,0,0,0,0.0,0.0,False,False,False,False,False,False
cnn_direct_vector_regression__dilated_stroke,CNN + Dilated stroke,dilated_stroke,Dilated stroke,binary,1,,5,2,3,1,0.5953454968944099,0.33568840579710146,0.638095238095238,1.0,0.6666666666666667,0,0,0.052631578946445066,0.006329113924037281,0.011299434836562507,0.005681818181807421,0.9679565429686909,3,54,471,15856,0.052631578946445066,0.006329113924037281,0.011299434836562507,0.9679565429686909,0.005681818181807421,190,474,0,0,0,1,0,0.0,0.0,False,False,False,True,False,False
cnn_direct_vector_regression__close_gaps,CNN + Close small gaps,close_gaps,Close small gaps,binary,1,,5,2,2,0,0.515700918079096,0.0719279661016949,0.6666666666666667,1.0,1.0,0,0,0.1323529411745242,0.04736842105238227,0.06976744147172646,0.036144578313107856,0.9853515624999398,9,59,181,16135,0.1323529411745242,0.04736842105238227,0.06976744147172646,0.9853515624999398,0.036144578313107856,190,190,0,1,0,0,0,0.0,0.0,False,True,False,False,False,False
cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,Local density blur,local_density,1,,5,2,3,1,0.617202380952381,0.325,0.7714285714285715,1.0,0.6666666666666667,0,0,0.22222222221947874,0.07468879668018802,0.11180124185878246,0.0592105263155947,0.98254394531244,18,63,223,16080,0.22222222221947874,0.07468879668018802,0.11180124185878246,0.98254394531244,0.0592105263155947,190,241,0,0,0,0,2,0.0,0.0,False,False,False,False,False,False
cnn_direct_vector_regression__sobel_edges,CNN + Sobel edge response,sobel_edges,Sobel edge response,sobel_edges,1,,5,2,2,0,0.6585267857142857,0.40625,0.6285714285714286,1.0,1.0,0,0,0.016129032257804373,0.003472222222210166,0.005714285422726546,0.0028653295128857727,0.9787597656249403,1,61,287,16035,0.016129032257804373,0.003472222222210166,0.005714285422726546,0.9787597656249403,0.0028653295128857727,190,288,0,0,0,0,0,0.0,0.0,False,False,False,False,False,False
cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,Distance-to-stroke,distance_transform,1,,5,2,3,1,0.4442857142857143,0.0,0.638095238095238,1.0,0.6666666666666667,0,0,0.06153846153751479,0.005865102639287588,0.010709504526493304,0.005383580080746455,0.9548950195311917,4,61,678,15641,0.06153846153751479,0.005865102639287588,0.010709504526493304,0.9548950195311917,0.005383580080746455,190,682,0,0,0,0,0,4.0,0.0,False,False,False,False,False,False
cnn_direct_vector_regression__neighbour_context,CNN + Neighbour-count context,neighbour_context,Neighbour-count context,neighbour_context,1,,5,2,3,1,0.6643392857142857,0.5525,0.49523809523809526,1.0,0.6666666666666667,0,0,0.06382978723268448,0.015789473684127423,0.02531645537801991,0.012820512820458032,0.9859008789061898,3,44,187,16150,0.06382978723268448,0.015789473684127423,0.02531645537801991,0.9859008789061898,0.012820512820458032,190,190,0,0,0,0,0,0.0,0.45,False,False,False,False,False,False
