sample,method,Method,preprocess_method,True vectors,Predicted vectors,Vector count error,Engineering score,Line geometry score,Total length score,Junction angle score,Vector count score,True junctions,Predicted junctions,tp,fp,fn,tn,sample_precision,sample_recall,sample_f1,sample_accuracy,sample_iou
740,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,3,3,0,0.2504846153846154,0.078,0.5769230769230769,0.0,1.0,1,0,28,31,214,16111,0.474576271178397,0.11570247933836487,0.18604651131148664,0.9850463867186898,0.10256410256372687
740,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,3,2,1,0.27316282051282054,0.11699999999999999,0.7692307692307692,0.0,0.6666666666666667,1,0,26,46,216,16096,0.3611111111060957,0.10743801652848167,0.16560509518690414,0.9840087890624399,0.09027777777746432
741,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,2,2,0,0.5060975609756098,0.0,0.7804878048780488,1.0,1.0,0,0,4,92,146,16142,0.04166666666623264,0.02666666666648889,0.03252032472708045,0.9854736328124398,0.01652892561976641
741,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,2,2,0,0.5272357723577236,0.0,0.8861788617886179,1.0,1.0,0,0,6,100,144,16134,0.05660377358437166,0.03999999999973334,0.046874999514404304,0.9851074218749398,0.023999999999904
742,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,4,4,0,0.6119165601023018,0.1951086956521739,0.8705882352941177,1.0,1.0,0,0,3,157,319,15905,0.018749999999882815,0.00931677018630647,0.012448132336512818,0.9709472656249407,0.006263048016688386
742,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,4,5,1,0.6088323338330834,0.24159420289855071,0.8505747126436781,1.0,0.8,0,0,0,172,322,15890,0.0,0.0,0.0,0.9698486328124408,0.0
743,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,1,1,0,0.42692307692307696,0.0,0.3846153846153846,1.0,1.0,0,0,3,9,119,16253,0.24999999997916666,0.02459016393422467,0.0447761192392515,0.9921874999999394,0.022900763358603814
743,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,1,1,0,0.4833333333333334,0.0,0.6666666666666667,1.0,1.0,0,0,3,21,119,16241,0.12499999999479167,0.02459016393422467,0.04109589013567274,0.9914550781249395,0.020979020978874274
744,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,3,3,0,0.5768486073674753,0.10199161425576518,0.9047619047619048,1.0,1.0,0,0,10,104,351,15919,0.08771929824484456,0.027700831024854017,0.04210526279291746,0.9722290039061906,0.021505376344039775
744,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,3,4,1,0.5137325304787392,0.10302144249512671,0.711864406779661,1.0,0.75,0,0,19,145,342,15878,0.11585365853587895,0.05263157894722263,0.07238095195107846,0.9702758789061907,0.0375494071145503
745,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,1,1,0,0.4948275862068966,0.0,0.7241379310344828,1.0,1.0,0,0,6,37,144,16197,0.13953488371768524,0.03999999999973334,0.06217616545614649,0.9889526367186896,0.03208556149715462
745,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,1,1,0,0.6860067212156633,0.3097701149425287,0.9830508474576272,1.0,1.0,0,0,7,53,143,16181,0.11666666666472222,0.04666666666635556,0.06666666625786848,0.9880371093749397,0.03448275862051979
746,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,4,5,1,0.5776119402985074,0.2296296296296296,0.7213930348258706,1.0,0.8,0,0,3,142,244,15995,0.02068965517227111,0.012145748987805079,0.015306121982754597,0.9764404296874404,0.0077120822621909715
746,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,4,5,1,0.2964837858220212,0.07685185185185182,0.9095022624434389,0.0,0.8,0,1,9,203,238,15934,0.042452830188479,0.036437246963415236,0.03921568577724618,0.9730834960936906,0.019999999999955557
747,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,2,3,1,0.5289158004619758,0.12008928571428568,0.791044776119403,1.0,0.6666666666666667,0,0,16,101,291,15976,0.13675213675096792,0.052117263843478444,0.07547169771325427,0.9760742187499404,0.039215686274413686
747,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,2,2,0,0.768888140161725,0.5325396825396825,0.8962264150943396,1.0,1.0,0,0,9,80,298,15997,0.10112359550448176,0.029315960911956627,0.04545454510584379,0.9769287109374404,0.02325581395342828
748,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,2,3,1,0.6378205128205128,0.2692307692307692,1.0,1.0,0.6666666666666667,0,0,4,97,133,16150,0.03960396039564749,0.029197080291757688,0.033613444889308675,0.9859619140624398,0.017094017093944043
748,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,2,4,2,0.5298323657474602,0.16692307692307692,0.7735849056603774,1.0,0.5,0,0,3,69,134,16178,0.04166666666608796,0.021897810218818266,0.028708133519379144,0.9876098632811897,0.01456310679604581
749,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,2,2,0,0.4375,0.0,0.4375,1.0,1.0,0,0,1,28,65,16290,0.03448275861950059,0.015151515151285582,0.021052631154349036,0.9943237304686893,0.010638297872227252
749,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,2,2,0,0.5354063467492259,0.03774509803921566,0.8421052631578947,1.0,1.0,0,0,6,67,60,16251,0.08219178082079188,0.0909090909077135,0.08633093475182443,0.9922485351561894,0.04511278195454803
750,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,1,1,0,0.7094268292682927,0.39222222222222225,0.9146341463414634,1.0,1.0,0,0,0,83,234,16067,0.0,0.0,0.0,0.9806518554686902,0.0
750,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,1,1,0,0.883,0.74,1.0,1.0,1.0,0,0,0,76,234,16074,0.0,0.0,0.0,0.98107910156244,0.0
751,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,5,5,0,0.39137289463376423,0.30515297906602257,0.7702702702702703,0.0,1.0,1,0,8,107,269,16000,0.06956521739069943,0.028880866425888517,0.04081632611579811,0.9770507812499404,0.02083333333327908
751,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,5,4,1,0.3583374261661643,0.21312220829718181,0.9121621621621622,0.0,0.8,1,0,12,126,265,15981,0.08695652173850033,0.04332129963883278,0.057831324857018446,0.9761352539061904,0.029776674937891375
752,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,3,4,1,0.574561507936508,0.21948412698412695,0.753968253968254,1.0,0.75,0,0,4,101,130,16149,0.038095238094875285,0.029850746268433953,0.033472802854361806,0.9859008789061898,0.01702127659567225
752,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,3,3,0,0.5766497933884298,0.15472222222222218,0.7851239669421488,1.0,1.0,0,0,2,109,132,16141,0.018018018017855693,0.014925373134216977,0.016326530116518134,0.9852905273436898,0.00823045267486325
753,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,1,1,0,0.612445054945055,0.1705128205128205,0.9285714285714286,1.0,1.0,0,0,0,15,44,16325,0.0,0.0,0.0,0.9963989257811892,0.0
753,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,1,1,0,0.6295000000000001,0.39,0.52,1.0,1.0,0,0,0,26,44,16314,0.0,0.0,0.0,0.9957275390624392,0.0
754,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,2,2,0,0.2856,0.0,0.928,0.0,1.0,0,1,11,94,378,15901,0.10476190476090702,0.028277634961366895,0.044534412620539594,0.9711914062499407,0.02277432712210606
754,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,2,2,0,0.2952,0.0,0.976,0.0,1.0,0,1,15,106,374,15889,0.1239669421477358,0.03856041131095486,0.058823529049604,0.9707031249999407,0.030303030302969085
755,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,2,2,0,0.5560757745427398,0.10491228070175437,0.7943262411347518,1.0,1.0,0,0,42,101,304,15937,0.29370629370423984,0.1213872832366434,0.17177914068975958,0.9752807617186905,0.09395973154341396
755,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,2,2,0,0.5485618776671408,0.10491228070175437,0.7567567567567568,1.0,1.0,0,0,23,126,323,15912,0.15436241610634657,0.06647398843911424,0.09292929250811142,0.9725952148436906,0.0487288135592188
756,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,3,3,0,0.5532159624413145,0.02592592592592592,0.9577464788732395,1.0,1.0,0,0,9,112,332,15931,0.07438016528864148,0.026392961876755446,0.038961038574248985,0.9729003906249406,0.019867549668830316
756,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,3,3,0,0.25810792349726774,0.006481481481481484,0.7759562841530054,0.0,1.0,0,1,6,152,335,15891,0.037974683544063456,0.017595307917836964,0.02404809575953511,0.9702758789061907,0.01217038539551284
757,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,4,4,0,0.35615018968258105,0.15187847029733464,0.9390243902439024,0.0,1.0,0,2,18,141,388,15837,0.11320754716909934,0.04433497536934893,0.06371681375462449,0.9677124023436909,0.03290676416812997
757,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,4,5,1,0.3361908014571949,0.2236338797814207,0.7777777777777778,0.0,0.8,0,2,21,162,385,15816,0.11475409836002867,0.051724137930907084,0.07130730008076767,0.9666137695311909,0.036971830985850405
758,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,5,5,0,0.2773722627737226,0.0,0.8868613138686131,0.0,1.0,0,2,9,246,625,15504,0.03529411764692042,0.014195583596192121,0.020247468657196264,0.9468383789061922,0.010227272727261106
