method,sample,true_vectors,pred_vectors,vector_count_error,engineering_score,line_geometry_score,total_length_score,junction_angle_score,vector_count_score,true_junctions,pred_junctions,pixel_precision,pixel_recall,pixel_f1,pixel_iou,pixel_accuracy,junction_nodes,traced_paths
baseline_original_unchanged,52,4,4,0,0.9932421557686322,0.9867674858223062,0.9959839357429718,1.0,1.0,2,2,0.9999999999953052,0.9999999999953052,0.9999999994953053,0.9999999999953052,0.9999999999999389,10,8
skeleton_junction_fix,52,4,4,0,0.9932421557686322,0.9867674858223062,0.9959839357429718,1.0,1.0,2,2,0.9999999999953052,0.9999999999953052,0.9999999994953053,0.9999999999953052,0.9999999999999389,10,8
baseline_original_unchanged,53,3,3,0,0.99025,0.9783333333333334,1.0,1.0,1.0,0,0,0.9942528735575044,0.9942528735575044,0.9942528730575043,0.9885714285657796,0.9998779296874389,6,3
skeleton_junction_fix,53,3,3,0,0.99025,0.9783333333333334,1.0,1.0,1.0,0,0,0.9942528735575044,0.9942528735575044,0.9942528730575043,0.9885714285657796,0.9998779296874389,6,3
baseline_original_unchanged,54,4,4,0,0.9946818181818181,0.9881818181818182,1.0,1.0,1.0,0,0,0.9341317365213526,0.9341317365213526,0.9341317360213525,0.8764044943770989,0.998657226562439,8,5
skeleton_junction_fix,54,4,4,0,0.9946818181818181,0.9881818181818182,1.0,1.0,1.0,0,0,0.9341317365213526,0.9341317365213526,0.9341317360213525,0.8764044943770989,0.998657226562439,8,5
baseline_original_unchanged,55,2,2,0,0.9804999999999999,0.9566666666666666,1.0,1.0,1.0,0,0,0.9999999999814816,0.9999999999814816,0.9999999994814817,0.9999999999814816,0.9999999999999389,4,2
skeleton_junction_fix,55,2,2,0,0.9804999999999999,0.9566666666666666,1.0,1.0,1.0,0,0,0.9999999999814816,0.9999999999814816,0.9999999994814817,0.9999999999814816,0.9999999999999389,4,2
baseline_original_unchanged,56,3,3,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9856115107842762,0.9856115107842762,0.9856115102842762,0.9716312056668679,0.9997558593749389,6,3
skeleton_junction_fix,56,3,3,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9856115107842762,0.9856115107842762,0.9856115102842762,0.9716312056668679,0.9997558593749389,6,3
baseline_original_unchanged,57,1,1,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999855071,0.9999999999855071,0.9999999994855071,0.9999999999855071,0.9999999999999389,2,1
skeleton_junction_fix,57,1,1,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999855071,0.9999999999855071,0.9999999994855071,0.9999999999855071,0.9999999999999389,2,1
baseline_original_unchanged,58,2,2,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999836067,0.9999999999836067,0.9999999994836066,0.9999999999836067,0.9999999999999389,4,2
skeleton_junction_fix,58,2,2,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999836067,0.9999999999836067,0.9999999994836066,0.9999999999836067,0.9999999999999389,4,2
baseline_original_unchanged,59,3,3,0,0.9416428571428571,0.9814285714285714,1.0,0.8,1.0,1,1,0.9952830188632299,0.9952830188632299,0.9952830183632299,0.9906103286338469,0.9998779296874389,7,5
skeleton_junction_fix,59,3,3,0,0.9416428571428571,0.9814285714285714,1.0,0.8,1.0,1,1,0.9952830188632299,0.9952830188632299,0.9952830183632299,0.9906103286338469,0.9998779296874389,7,5
baseline_original_unchanged,60,5,5,0,0.9969394868934746,0.994107744107744,0.9979550102249489,1.0,1.0,6,6,0.9999999999978992,0.9979035639392078,0.9989506815545673,0.9979035639392078,0.9999389648436889,14,15
skeleton_junction_fix,60,5,5,0,0.9969394868934746,0.994107744107744,0.9979550102249489,1.0,1.0,6,6,0.9999999999978992,0.9979035639392078,0.9989506815545673,0.9979035639392078,0.9999389648436889,14,15
baseline_original_unchanged,61,4,4,0,0.9696818181818181,0.9881818181818182,1.0,0.9,1.0,2,2,0.9916317991590309,0.9916317991590309,0.9916317986590308,0.9834024896224756,0.9997558593749389,10,8
skeleton_junction_fix,61,4,4,0,0.9696818181818181,0.9881818181818182,1.0,0.9,1.0,2,2,0.9916317991590309,0.9916317991590309,0.9916317986590308,0.9834024896224756,0.9997558593749389,10,8
baseline_original_unchanged,62,2,2,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999931035,0.9999999999931035,0.9999999994931035,0.9999999999931035,0.9999999999999389,4,2
skeleton_junction_fix,62,2,2,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999931035,0.9999999999931035,0.9999999994931035,0.9999999999931035,0.9999999999999389,4,2
baseline_original_unchanged,63,2,2,0,0.7238712998712998,0.9443386243386244,0.9945945945945946,0.0,1.0,1,0,0.9999999999942197,0.9942528735575044,0.9971181551138536,0.9942528735575044,0.9999389648436889,4,3
skeleton_junction_fix,63,2,2,0,0.7238712998712998,0.9443386243386244,0.9945945945945946,0.0,1.0,1,0,0.9999999999942197,0.9942528735575044,0.9971181551138536,0.9942528735575044,0.9999389648436889,4,3
baseline_original_unchanged,64,2,2,0,0.9472142857142857,0.9938095238095238,1.0,0.8,1.0,1,1,0.9929078014113979,0.9929078014113979,0.9929078009113979,0.9859154929508035,0.9998779296874389,5,4
skeleton_junction_fix,64,2,2,0,0.9472142857142857,0.9938095238095238,1.0,0.8,1.0,1,1,0.9929078014113979,0.9929078014113979,0.9929078009113979,0.9859154929508035,0.9998779296874389,5,4
baseline_original_unchanged,65,1,1,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999888889,0.9999999999888889,0.9999999994888888,0.9999999999888889,0.9999999999999389,2,1
skeleton_junction_fix,65,1,1,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999888889,0.9999999999888889,0.9999999994888888,0.9999999999888889,0.9999999999999389,2,1
